emp_prse,jobs_1000,locquotient,h_mean,a_mean,mean_prse,h_median,a_median
6.3000002,2.0190001,9.3599997,53.5,"111,270",6.6,35.8,"74,470"
8.1000004,1.296,9.71,40.61,"84,470",2.1,40.98,"85,250"
22.4,.26100001,1.11,43.64,"90,760",12.9,32.6,"67,820"
12.1,1.089,1.41,69.18,"143,900",10.1,56.87,"118,280"
41.799999,.054000001,1.62,127.16,"264,500",12.8,#,#
29.4,.016000001,.5,81.68,"169,890",8.6,86.27,"179,430"
11.4,.46000001,1.04,34.29,"71,320",1.5,35.18,"73,170"
17.700001,.207,.79000002,54.26,"112,860",5.1,54,"112,320"
9.6999998,1.8279999,.83999997,64.83,"134,840",1.7,67.46,"140,320"
33.5,.215,1,135.12,"281,050",6.8,#,#
14.9,.94700003,1.0700001,89.94,"187,080",11.6,87.86,"182,750"
18.700001,.243,.81999999,95.95,"199,580",7.7,93.33,"194,120"
27.5,.155,1.17,87.29,"181,560",9.7,76.25,"158,590"
19,.255,1.26,84.34,"175,430",6.5,77.31,"160,810"
24.5,.16599999,.94,116.38,"242,080",11.9,#,#
18.1,.226,.83999997,87.08,"181,120",10.8,83.71,"174,120"
9.6999998,1.5880001,.63999999,110.89,"230,640",4.8,#,#
12.8,.48300001,.63,50.49,"105,030",3.6,53,"110,230"
15,.057,.83999997,38.49,"80,050",11.4,24.33,"50,600"
9.6000004,.65200001,.74000001,42.96,"89,370",2.1,43.93,"91,370"
15.4,1.33,.83999997,45.29,"94,210",3.8,45.08,"93,760"
18.700001,.044,.36000001,50.34,"104,710",3.7,53.58,"111,440"
11.5,.061999999,.47999999,32.91,"68,460",2.2,32.95,"68,530"
13.1,1.215,1.35,36.09,"75,070",2.1,36.11,"75,110"
12,.66399997,.66000003,44.52,"92,600",1.8,45.52,"94,680"
13.2,.014,.31999999,39.29,"81,720",7.1,35.33,"73,480"
14.7,.29300001,.60000002,64.07,"133,260",7.9,53.78,"111,870"
3.0999999,16.923,.82999998,45.1,"93,800",1.4,45.27,"94,170"
11.9,.074000001,.25,97.31,"202,400",2.9,90.87,"189,010"
15.5,.035999998,.79000002,61.33,"127,560",6.1,63.71,"132,520"
10.6,.704,.60000002,61.64,"128,220",3.4,59.41,"123,570"
45.200001,.056000002,.66000003,47.12,"98,020",3.2,46.88,"97,520"
22.799999,.266,1.05,34.6,"71,970",8.1,33.71,"70,110"
7.3000002,2.0439999,.89999998,28.15,"58,550",2.2,24.15,"50,220"
10.4,1.189,.80000001,46.06,"95,810",3.3,47.5,"98,800"
5.9000001,.26699999,.68000001,34.32,"71,390",2.3,33.33,"69,330"
4.4000001,.28600001,.58999997,39.87,"82,930",2.6,40.33,"83,890"
7.4000001,.079999998,.60000002,49.74,"103,460",1.5,50.77,"105,600"
7.3000002,1.038,.74000001,34.46,"71,680",2.6,34.77,"72,320"
12.2,.168,.63999999,40.41,"84,050",2.8,40.86,"84,980"
8.1999998,1.031,.57999998,15.75,"32,760",3.9,13.65,"28,390"
12.6,.27900001,1.1900001,15.54,"32,320",3.6,13.62,"28,340"
5.9000001,2.263,.76999998,19.03,"39,570",2,18.29,"38,030"
12.9,.26499999,.56,25.94,"53,960",4.2,27.12,"56,400"
44.599998,.055,.81,22.29,"46,360",15.3,14.91,"31,010"
7.0999999,.51599997,.69,28.23,"58,720",1.5,28.32,"58,910"
16.700001,.47099999,.64999998,19.54,"40,630",5.9,18.26,"37,970"
38.400002,.152,.44999999,18.63,"38,750",3.7,17.8,"37,030"
5.4000001,4.2140002,.85000002,25.06,"52,130",1.2,24.59,"51,150"
9,1.3710001,.95999998,23.67,"49,240",2.3,20.28,"42,190"
13.8,.47999999,.91000003,20.15,"41,920",2.7,18.84,"39,190"
36.700001,.037999999,.69,*,*,*,*,*
28.700001,.023,.44999999,32.75,"68,120",7.4,33.16,"68,970"
9,1.5650001,1.79,23.34,"48,540",3.4,20.21,"42,040"
7,.352,.62,41.07,"85,430",1.3,41.19,"85,660"
26.700001,.071000002,.56999999,29.53,"61,410",3.7,27.54,"57,270"
16.5,.088,.5,*,"55,490",3,*,"51,090"
11.4,.27700001,1.14,39.82,"82,820",5,36.27,"75,450"
16,1.607,.28,15.19,"31,590",4.5,12.23,"25,430"
27.1,.161,.34999999,16.23,"33,760",3.5,14.83,"30,850"
4.0999999,6.4460001,.63,15.11,"31,430",1.8,14.14,"29,400"
10.1,.294,.80000001,17.33,"36,050",2.3,16.79,"34,920"
20.4,.142,.47999999,30.22,"62,860",4.4,33.44,"69,550"
30.9,.035,.64999998,18.88,"39,270",5.8,17.54,"36,480"
12.9,.34599999,.55000001,28.84,"59,990",4.1,31.01,"64,500"
14.6,.33899999,.98000002,14.93,"31,050",3.5,13.91,"28,940"
19.6,1.258,1.74,19.28,"40,090",4.2,16.71,"34,750"
5.4000001,2.813,1.1900001,17.75,"36,910",2.5,16.86,"35,080"
5.0999999,5.4169998,1.1900001,17.36,"36,120",1.5,16.43,"34,170"
7.8000002,.35299999,.93000001,20.85,"43,370",2,20.24,"42,100"
9,.331,.83999997,18.32,"38,100",12.1,15.34,"31,910"
20.700001,.64300001,2.55,17.69,"36,800",5.6,16.12,"33,530"
22.1,.58899999,1,14.41,"29,960",4.3,13.68,"28,450"
10.8,.83399999,.97000003,20.64,"42,930",2,20.29,"42,200"
9.6000004,.61500001,.94999999,21.22,"44,150",1.9,20.7,"43,070"
1.2,.027000001,.090000004,45.58,"94,810",3.6,45.85,"95,380"
1.4,.131,.18000001,76.42,"158,960",4.7,72.33,"150,450"
4.9000001,.061000001,.15000001,79.83,"166,040",3.8,75.16,"156,330"
9.5,.56800002,1.09,27.2,"56,580",2.7,25.66,"53,370"
3,1.4400001,.63999999,40.91,"85,090",2.2,38.86,"80,830"
4.1999998,.045000002,.54000002,49.18,"102,290",4.8,52.72,"109,660"
4.5,.017000001,1.25,26.64,"55,410",9.7,22.63,"47,070"
3.0999999,.75400001,.25,31.55,"65,620",2.6,30.49,"63,410"
.30000001,.65899998,.88999999,56.21,"116,910",2.3,58.12,"120,880"
0,.0070000002,.16,38.51,"80,100",2.7,37.45,"77,900"
6.4000001,.077,1.27,24.44,"50,830",1.5,24.08,"50,090"
1.1,5.0300002,1.08,49.87,"103,730",1.5,49.95,"103,900"
9.8000002,.077,.86000001,27.64,"57,480",3.5,27.39,"56,960"
8.6000004,.148,.68000001,34.92,"72,640",4.8,33.12,"68,880"
27,.075000003,1.04,16.63,"34,600",4.3,15.84,"32,950"
3.4000001,10.996,1.42,15.14,"31,490",7.2,12.91,"26,860"
15.8,.37200001,.69,15.28,"31,790",4.7,15.36,"31,950"
5.0999999,1.127,1.1,18.34,"38,140",7.6,16.51,"34,350"
.5,.44400001,1.49,20.46,"42,570",3.4,20.16,"41,920"
7.0999999,1.095,1.15,19.49,"40,530",3.1,18.26,"37,970"
13.2,1.183,1.28,24.19,"50,310",4,22.25,"46,280"
4.0999999,5.4380002,.83999997,17.04,"35,440",1.4,14.91,"31,000"
7.6999998,6.6020002,1.87,11.5,"23,920",0.7,11.16,"23,220"
7,1.487,.51999998,15.7,"32,660",1.4,15.15,"31,510"
3.3,8.6920004,.97000003,13.86,"28,830",1,13.34,"27,740"
18.6,1.206,.99000001,12.61,"26,230",1.4,12.01,"24,980"
19.1,.25099999,2.25,15.3,"31,830",2.9,14.41,"29,980"
6.9000001,6.296,1.08,12.49,"25,970",1,11.71,"24,360"
8.5,3.4749999,.81,15.56,"32,360",2.9,13.19,"27,440"
4,22.736,.91000003,11.66,"24,260",0.5,11.19,"23,280"
14.7,2.8929999,.86000001,12.99,"27,020",2.4,11.65,"24,230"
3,17.982,.99000001,14.29,"29,730",1.8,11.72,"24,390"
9.1000004,1.489,.80000001,14.18,"29,490",2.2,12.1,"25,170"
6.5999999,5.099,1.66,12.14,"25,260",1.3,11.26,"23,420"
5.8000002,5.2550001,1.49,11.26,"23,430",0.6,11.02,"22,910"
4.4000001,3.3340001,1.15,11.98,"24,930",0.9,11.36,"23,620"
18.5,.45100001,1.14,12.83,"26,690",3.8,11.28,"23,470"
7.6999998,.84100002,.76999998,22.88,"47,590",2.1,22.18,"46,140"
8.5,.509,.72000003,28.27,"58,810",3.5,26.34,"54,790"
3.0999999,13.156,.87,15.08,"31,360",1.3,13.52,"28,120"
4.8000002,5.2859998,.81999999,13.12,"27,280",1.2,11.93,"24,810"
7.9000001,.491,.93000001,20.01,"41,610",7.6,19.9,"41,390"
3.0999999,5.2820001,.82999998,15.59,"32,420",1.9,13.93,"28,970"
27.200001,.07,.38999999,*,*,*,*,*
27.6,.155,.54000002,25.37,"52,770",8.8,25.95,"53,970"
14.2,2.3599999,1.5700001,20.54,"42,720",4.3,20.16,"41,940"
19.5,.148,1.48,19.02,"39,560",9.4,12.44,"25,870"
11.4,1.2359999,.93000001,14.56,"30,280",4.8,11.97,"24,900"
8.1000004,.78100002,1.1799999,13.81,"28,720",6,12.44,"25,860"
17.5,.123,1.5700001,19.11,"39,740",7.3,20.61,"42,870"
27.4,.075000003,1.11,17.24,"35,860",5.2,17.01,"35,380"
7.1999998,1.109,1.27,12.36,"25,700",1.5,11.42,"23,760"
4.6999998,3.1600001,1.45,12.45,"25,900",3.1,11.39,"23,690"
7.3000002,.212,1.6799999,16.19,"33,670",5.5,16.72,"34,770"
19.1,.032000002,.85000002,14.61,"30,380",6.3,12.3,"25,590"
21.5,.024,.81999999,21.99,"45,730",5.7,22.8,"47,430"
18,.13,.52999997,17.16,"35,700",4.8,15.39,"32,020"
18.5,.059999999,.34,23.01,"47,860",4.8,20.12,"41,860"
10.8,1.654,.67000002,14.58,"30,330",3.8,12.02,"25,000"
11.4,.28999999,11.69,36.19,"75,260",9.3,32.33,"67,250"
15.4,1.232,1.6900001,12.02,"25,000",2.9,11.23,"23,360"
20.9,.354,1.12,15.72,"32,700",5.6,13.27,"27,610"
9.8999996,.44999999,1.51,13.91,"28,930",3.4,12.22,"25,420"
17.5,.208,.82999998,16.19,"33,670",2.1,16.18,"33,650"
18.299999,.28600001,.88,15.31,"31,850",3.4,14.45,"30,050"
