AREA,AREA_NAME,Short_name,OCC_TITLE,Short_title,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_MEDIAN,A_MEDIAN
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Computer Programmers,Computer Programmers,"9,970",8.2,1.648,0.95,43.68,"90,860",1.1,42.21,"87,790"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Software Developers, Applications","Software Developers,","27,050",4.1,4.473,0.75,55.26,"114,940",1.5,54.07,"112,470"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Software Developers, Systems Software","Software Developers,","22,730",6,3.758,1.36,57.62,"119,860",1.6,57.01,"118,580"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Web Developers,Web Developers,"7,920",7.2,1.31,1.48,36.84,"76,620",2,32.57,"67,750"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Database Administrators,Database Administrat,"3,830",5.3,0.633,0.79,44.6,"92,770",2,44.98,"93,560"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Network and Computer Systems Administrators,Network and Computer,"14,330",3.8,2.37,0.9,43.69,"90,870",1.1,42.96,"89,350"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Computer Network Architects,Computer Network Arc,"4,930",9.6,0.816,0.74,56.53,"117,590",4.4,53.68,"111,660"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Computer User Support Specialists,Computer User Suppor,"23,100",4.6,3.821,0.89,27.89,"58,020",1,26.6,"55,320"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Computer Network Support Specialists,Computer Network Sup,"5,990",7,0.991,0.76,36.1,"75,090",2.6,33.46,"69,610"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Computer Occupations, All Other",Computer Occupations,"15,200",4.9,2.514,1.13,41.13,"85,540",1.4,39,"81,120"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Actuaries,Actuaries,600,25.2,0.099,0.73,52.15,"108,480",2.8,49.4,"102,760"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Mathematicians,Mathematicians,80,24.2,0.014,0.71,33.48,"69,650",3.8,30.07,"62,540"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Operations Research Analysts,Operations Research ,"4,420",9.5,0.73,0.98,42.92,"89,280",1.5,41.81,"86,950"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Statisticians,Statisticians,"1,220",12,0.201,0.78,40.34,"83,900",2.7,39.04,"81,190"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Architects, Except Landscape and Naval","Architects, Except L","5,890",10.8,0.974,1.35,46.1,"95,880",4.5,40.96,"85,190"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Landscape Architects,Landscape Architects,940,29.4,0.155,1.16,39.34,"81,830",4.1,40.58,"84,410"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Cartographers and Photogrammetrists,Cartographers and Ph,480,22.2,0.079,0.99,41.9,"87,160",3.3,40.72,"84,690"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Surveyors,Surveyors,"1,240",13,0.204,0.67,43.35,"90,170",3.1,44.45,"92,450"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Aerospace Engineers,Aerospace Engineers,"5,020",5.2,0.831,1.8,61.89,"128,730",3.2,61.29,"127,470"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Biomedical Engineers,Biomedical Engineers,"1,130",18.1,0.187,1.33,45.88,"95,440",4.4,43.84,"91,180"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Chemical Engineers,Chemical Engineers,560,17.3,0.093,0.4,46.72,"97,190",4,42.89,"89,220"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Civil Engineers,Civil Engineers,"13,640",6.5,2.255,1.08,51.32,"106,750",1.7,51.19,"106,480"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Computer Hardware Engineers,Computer Hardware En,"3,500",13.3,0.579,1.24,59.09,"122,910",3.3,55.98,"116,440"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Electrical Engineers,Electrical Engineers,"7,790",5.9,1.289,1,53.6,"111,500",2.2,52.48,"109,160"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Electronics Engineers, Except Computer",Electronics Engineer,"9,330",7.9,1.543,1.63,59.36,"123,470",4.1,57.88,"120,390"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Environmental Engineers,Environmental Engine,"2,620",10.9,0.433,1.17,49.3,"102,540",3.4,48.28,"100,420"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Health and Safety En,"1,190",10.4,0.197,1.07,50.56,"105,160",1.5,51.22,"106,550"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Industrial Engineers,Industrial Engineers,"9,790",4.3,1.619,0.87,51.51,"107,150",2,48.62,"101,130"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Marine Engineers and Naval Architects,Marine Engineers and,50,38.6,0.008,0.11,54.04,"112,400",6.2,49.39,"102,740"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Materials Engineers,Materials Engineers,950,19.5,0.157,0.82,51.66,"107,450",3.4,51.21,"106,520"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Mechanical Engineers,Mechanical Engineers,"8,920",5.3,1.474,0.72,48.6,"101,080",1.7,45.85,"95,360"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Mining and Geological Engineers, Including Mining Safety Engineers",Mining and Geologica,70,17.7,0.011,0.26,62.79,"130,590",4.1,64.66,"134,500"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Petroleum Engineers,Petroleum Engineers,790,33.7,0.13,0.58,64.24,"133,620",5.4,59.66,"124,100"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Engineers, All Other","Engineers, All Other","4,960",7.7,0.821,0.89,49.49,"102,930",2,49.18,"102,290"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Architectural and Civil Drafters,Architectural and Ci,"5,780",9.4,0.956,1.42,29.3,"60,950",2.6,28.7,"59,690"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Electrical and Electronics Drafters,Electrical and Elect,"1,110",13.6,0.184,1.01,35.89,"74,650",3.5,34.38,"71,510"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Mechanical Drafters,Mechanical Drafters,"1,410",7.8,0.233,0.57,29.46,"61,280",2,27.71,"57,630"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Drafters, All Other","Drafters, All Other",480,11.9,0.079,0.74,27.07,"56,300",4.3,24.7,"51,370"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Aerospace Engineering and Operations Technicians,Aerospace Engineerin,740,27.4,0.123,1.5,33.78,"70,260",2.9,34.03,"70,780"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Civil Engineering Technicians,Civil Engineering Te,"3,340",9,0.553,1.1,33.81,"70,320",3.2,33.53,"69,740"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Electrical and Electronics Engineering Technicians,Electrical and Elect,"5,680",7.2,0.94,1.04,31.09,"64,670",2.4,29.8,"61,990"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Electro-Mechanical Technicians,Electro-Mechanical T,670,30,0.11,1.21,27.77,"57,750",3.1,27.28,"56,740"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Environmental Engineering Technicians,Environmental Engine,900,40,0.148,1.2,23.6,"49,080",3.5,21.95,"45,660"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Industrial Engineering Technicians,Industrial Engineeri,"1,320",12.4,0.219,0.48,34.24,"71,220",2.8,33.35,"69,370"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Mechanical Engineering Technicians,Mechanical Engineeri,"1,600",15.7,0.264,0.87,30.71,"63,870",2.1,30.61,"63,660"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Engineering Technicians, Except Drafters, All Other",Engineering Technici,"2,780",8.3,0.46,0.86,33.39,"69,460",1.8,32.39,"67,370"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Surveying and Mapping Technicians,Surveying and Mappin,950,15,0.157,0.43,32.92,"68,470",3.9,33.5,"69,680"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Animal Scientists,Animal Scientists,30,0,0.005,0.31,23.64,"49,160",2.5,22.69,"47,190"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Food Scientists and Technologists,Food Scientists and ,440,12.4,0.073,0.7,33.2,"69,060",3.2,29.73,"61,840"
31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Soil and Plant Scientists,Soil and Plant Scien,270,31.7,0.045,0.45,*,*,*,*,*
